date,T,c,h,l,n,o,t,v,vw
2025-01-02,WMT,90,90.6,89.52,147273,89.98,1735851600000,14820438.0,90.0125
2025-01-02,AAPL,243.85,249.1,241.8201,685447,248.93,1735851600000,55090731.0,244.346
2025-01-02,CRM,330.66,338.92,327.81,97338,336.31,1735851600000,4807138.0,331.4372
2025-01-02,AMGN,259.28,263.58,258.31,43860,262.18,1735851600000,2357964.0,260.1184
2025-01-02,AMZN,220.22,225.15,218.19,449631,222.03,1735851600000,33956579.0,221.2745
2025-01-02,CSCO,59.1,59.68,58.57,121372,59.27,1735851600000,16144281.0,59.1087
2025-01-02,AXP,298.43,300.34,294.619,49559,300,1735851600000,1930118.0,297.8808
2025-01-02,CVX,146.71,148.07,145.475,108197,145.475,1735851600000,7170257.0,146.8887
2025-01-02,INTC,20.22,20.43,20,182854,20.23,1735851600000,46399729.0,20.2192
2025-01-02,DIS,110.82,112.2,110.17,90241,111.7,1735851600000,5676086.0,110.9989
2025-01-02,NVDA,138.31,138.88,134.63,1566998,136,1735851600000,198226166.0,137.1925
2025-01-02,MSFT,418.58,426.07,414.85,353076,425.53,1735851600000,16896469.0,419.6368
2025-01-02,MMM,129.7,131.62,128.98,46904,130.29,1735851600000,3249067.0,129.9834
2025-01-02,HD,388.46,392.67,386.38,58574,392.13,1735851600000,2418343.0,388.9817
2025-01-02,NKE,73.67,76.69,73.24,134830,76.25,1735851600000,10883418.0,74.1772
2025-01-02,CAT,359.77,368.85,358.09,45204,365.51,1735851600000,1793731.0,361.5654
2025-01-02,IBM,219.94,222.49,217.6,52970,221.82,1735851600000,2579498.0,219.6675
2025-01-02,HON,225.52,227.99,224.65,40190,227.07,1735851600000,2089908.0,225.9566
2025-01-02,KO,61.84,62.75,61.62,112814,62.35,1735851600000,12990975.0,61.9384
2025-01-02,JNJ,144.02,145.77,143.78,86156,145.23,1735851600000,6051330.0,144.3581
2025-01-02,VZ,40.21,40.56,39.98,104881,40.03,1735851600000,22470163.0,40.1936
2025-01-02,PG,165.98,168.7052,165.91,78857,168.085,1735851600000,5401712.0,166.4744
2025-01-02,SHW,333.16,342.02,331,39736,340.2,1735851600000,2263657.0,334.5776
2025-01-02,UNH,504.51,512.11,503.2901,79656,508,1735851600000,4237395.0,505.4621
2025-01-02,GS,574.97,584.31,569.74,56647,579.31,1735851600000,2219170.0,575.926
2025-01-02,TRV,240.89,242.71,240.01,21634,242.23,1735851600000,942498,241.0426
2025-01-02,MCD,292.51,295.7625,290.25,57114,290.95,1735851600000,3118262.0,292.9698
2025-01-02,V,314.4,319.68,312.41,96316,317.78,1735851600000,5373059.0,315.2188
2025-01-02,JPM,240,243.276,239.45,106680,240.92,1735851600000,9220914.0,240.6919
2025-01-02,BA,171.87,179.19,169.82,149021,178.31,1735851600000,12399954.0,172.4358
